x,Ser Millis,PPS Millis,,,
1161,1171431,1171051,,,
1162,1172458,1172052,,,
1163,1173448,1173053,,,
1164,1174470,1174053,,,
1165,1175485,1175054,,,
1166,1176486,1176054,,,
1167,1177479,1177055,,,
1168,1178457,1178055,,,
1169,1179483,1179056,,,
1170,1180496,1180056,,,
1171,1181494,1181057,,,
1172,1182476,1182057,,,
1173,1183474,1183057,,,
1174,1184545,1184058,,,
1175,1185542,1185058,,,
1176,1186539,1186059,,,
1177,1187478,1187059,,,
1178,1188542,1188060,,,
1179,1189490,1189060,,,
1180,1190501,1190061,,,
1181,1191492,1191061,,,
1182,1192473,1192061,,,
1183,1193473,1193062,,,
1184,1194491,1194062,,,
1185,1195531,1195063,,,
1186,1196551,1196063,,,
1187,1197554,1197064,,,
1188,1198527,1198064,,,
1189,1199506,1199065,,,
1190,1200449,1200065,,,
1191,1201504,1201065,,,
1192,1202453,1202067,,,
1193,1203452,1203067,,,
1194,1204448,1204068,,,
1195,1205491,1205068,,,
1196,1206504,1206069,,,
1197,1207498,1207069,,,
1198,1208467,1208070,,,
1199,1209439,1209070,,,
1200,1210460,1210071,,,
1201,1211454,1211071,,,
1202,1212454,1212071,,,
1203,1213455,1213072,,,
1204,1214455,1214072,,,
1205,1215458,1215073,,,
